Data,Hora,Tipus,Lloc,Competició,Esport,Partit,Qui juga,Nota
20/08/2026,22:00-23:00,,Poliesportiu,Masculí,Voleibol pista,"Prèvia 1, Prèvia 2","P1: Equip 2 - Equip 3
P2: Equip 4 - Equip 9",
21/08/2026,18:00-19:00,,Club de Begues,Femení,Waterpolo,F1-F2,Las potras salvajes - Tocapelotas,
21/08/2026,19:00-20:00,,Club de Begues,Femení,Waterpolo,F4-F5,Birra sana - Dynamos,
21/08/2026,19:00-20:00,,Club de Begues,Masculí,Waterpolo,Prèvia 1,Equip 10 - Equip 7,
21/08/2026,22:00-23:00,,Poliesportiu,Masculí,Bàsquet,"Semifinal consolació 1, Semifinal consolació 2",,
21/08/2026,19:00-20:00,,Poliesportiu,Femení,Voleibol pista,"F1-F2, F4-F5","F1-F2: Las potras salvajes - Tocapelotas
F4-F5: Birra sana - Dynamos",
21/08/2026,20:00-21:00,,Club de Begues,Masculí,Waterpolo,Prèvia 2,Equip 6 - Equip 2,
21/08/2026,21:00-22:00,,Poliesportiu,Femení,Bàsquet,"F1-F5, F2-F3","F1-F5: Las potras salvajes - Dynamos
F2-F3: Tocapelotas - Motomamis",
21/08/2026,20:00-01:00,,Altres,,Futbolí,"Quarts 1, Quarts 2, Quarts 3, Quarts 4, Semifinal consolació 1, Semifinal consolació 2, Semifinal 1, Semifinal 2, F2-F5, F3-F4, F1-F5, F2-F3","QF1: Guanyador P1 - Equip 2
QF2: Equip 10 - Equip 3
QF3: Guanyador P2 - Equip 8
QF4: Equip 5 - Equip 1
F2-F5: Tocapelotas - Dynamos
F3-F4: Motomamis - Birra sana
F1-F5: Las potras salvajes - Dynamos
F2-F3: Tocapelotas - Motomamis",
21/08/2026,20:00-01:00,,Altres,,Dards,"Quarts 1, Quarts 2, Quarts 3, Quarts 4, Semifinal consolació 1, Semifinal consolació 2, Semifinal 1, Semifinal 2, F2-F5, F3-F4, F1-F5, F2-F3","QF1: Guanyador P1 - Equip 6
QF2: Equip 1 - Equip 3
QF3: Guanyador P2 - Equip 8
QF4: Equip 9 - Equip 4
F2-F5: Tocapelotas - Dynamos
F3-F4: Motomamis - Birra sana
F1-F5: Las potras salvajes - Dynamos
F2-F3: Tocapelotas - Motomamis",
21/08/2026,23:00-00:00,,Poliesportiu,Masculí,Bàsquet,"Semifinal 1, Semifinal 2",,
21/08/2026,18:00-19:00,,Poliesportiu,Masculí,Voleibol pista,"Quarts 2, Quarts 4","QF2: Equip 7 - Equip 1
QF4: Equip 6 - Equip 10",
21/08/2026,20:00-21:00,,Poliesportiu,Masculí,Voleibol pista,"Quarts 1, Quarts 3","QF1: Guanyador P1 - Equip 8
QF3: Guanyador P2 - Equip 5",
21/08/2026,,Límit,,Masculí,"Petanca, Dòmino, Tennis, Frontó, Pàdel, Billar","Quarts 1, Quarts 2, Quarts 3, Quarts 4",,LIMIT 1ª RONDA
22/08/2026,09:00-11:00,,Altres,,Ciclisme,Tot,,
22/08/2026,11:00-14:00,,Club de Begues,Femení,Waterpolo,"F2-F5, F3-F4, F1-F5, F2-F3","F2-F5: Tocapelotas - Dynamos
F3-F4: Motomamis - Birra sana
F1-F5: Las potras salvajes - Dynamos
F2-F3: Tocapelotas - Motomamis",
22/08/2026,11:00-12:00,,Poliesportiu,Masculí,Futbol sala,Prèvia 1,Equip 10 - Equip 1,
22/08/2026,12:00-13:00,,Poliesportiu,Masculí,Futbol sala,Prèvia 2,Equip 8 - Equip 2,
