Esport,Partit,Guanyador,Marcador
Dòmino,Quarts 4,,
Dòmino,Semifinal 1,,
Dòmino,Semifinal 2,,
Dòmino,Final,,
Dòmino,3r i 4t lloc,,
Dòmino,Semifinal consolació 1,,
Dòmino,Semifinal consolació 2,,
Dòmino,Final consolació · 5è i 6è lloc,,
Dòmino,7è i 8è lloc,,
Dòmino,9è i 10è lloc,,
Escacs,Prèvia 1,,
Escacs,Prèvia 2,,
Escacs,Quarts 1,,
Escacs,Quarts 2,,
Escacs,Quarts 3,,
Escacs,Quarts 4,,
Escacs,Semifinal 1,,
Escacs,Semifinal 2,,
Escacs,Final,,
Escacs,3r i 4t lloc,,
Escacs,Semifinal consolació 1,,
Escacs,Semifinal consolació 2,,
Escacs,Final consolació · 5è i 6è lloc,,
Escacs,7è i 8è lloc,,
Escacs,9è i 10è lloc,,
Dards,Prèvia 1,,
Dards,Prèvia 2,,
Dards,Quarts 1,,
Dards,Quarts 2,,
Dards,Quarts 3,,
Dards,Quarts 4,,
Dards,Semifinal 1,,
Dards,Semifinal 2,,
Dards,Final,,
Dards,3r i 4t lloc,,
Dards,Semifinal consolació 1,,
Dards,Semifinal consolació 2,,
Dards,Final consolació · 5è i 6è lloc,,
Dards,7è i 8è lloc,,
Dards,9è i 10è lloc,,
Futbolí,Prèvia 1,,
Futbolí,Prèvia 2,,
Futbolí,Quarts 1,,
Futbolí,Quarts 2,,
Futbolí,Quarts 3,,
Futbolí,Quarts 4,,
Futbolí,Semifinal 1,,
Futbolí,Semifinal 2,,
Futbolí,Final,,
Futbolí,3r i 4t lloc,,
Futbolí,Semifinal consolació 1,,
Futbolí,Semifinal consolació 2,,
Futbolí,Final consolació · 5è i 6è lloc,,
Futbolí,7è i 8è lloc,,
Futbolí,9è i 10è lloc,,
Billar,Prèvia 1,,
Billar,Prèvia 2,,
Billar,Quarts 1,,
Billar,Quarts 2,,
Billar,Quarts 3,,
Billar,Quarts 4,,
Billar,Semifinal 1,,
Billar,Semifinal 2,,
Billar,Final,,
Billar,3r i 4t lloc,,
Billar,Semifinal consolació 1,,
Billar,Semifinal consolació 2,,
Billar,Final consolació · 5è i 6è lloc,,
Billar,7è i 8è lloc,,
Billar,9è i 10è lloc,,
Minigolf,Lloc 1,,
Minigolf,Lloc 2,,
Minigolf,Lloc 3,,
Minigolf,Lloc 4,,
Minigolf,Lloc 5,,
Minigolf,Lloc 6,,
Minigolf,Lloc 7,,
Minigolf,Lloc 8,,
Minigolf,Lloc 9,,
Minigolf,Lloc 10,,
Ciclisme,Lloc 1,,
Ciclisme,Lloc 2,,
Ciclisme,Lloc 3,,
Ciclisme,Lloc 4,,
Ciclisme,Lloc 5,,
Ciclisme,Lloc 6,,
Ciclisme,Lloc 7,,
Ciclisme,Lloc 8,,
Ciclisme,Lloc 9,,
Ciclisme,Lloc 10,,
Atletisme,Lloc 1,,
Atletisme,Lloc 2,,
Atletisme,Lloc 3,,
Atletisme,Lloc 4,,
Atletisme,Lloc 5,,
Atletisme,Lloc 6,,
Atletisme,Lloc 7,,
Atletisme,Lloc 8,,
